Company_Name,Revenue_Cr,Revenue_Source,Revenue_Confidence
360 ONE WAM LIMITED,3295.0930124,BRSR_XBRL,HIGH
3M INDIA LIMITED,4445.5563083,BRSR_XBRL,HIGH
Aarti Industries Limited,8078.5789829,BRSR_XBRL,HIGH
Aavas Financiers Limited,2358.415041658,BRSR_XBRL,HIGH
ACC Limited,20594.0,BRSR_XBRL,HIGH
Adani Energy Solutions Limited,24446.55,BRSR_XBRL,HIGH
Adani Enterprises Limited,97894.75,BRSR_XBRL,HIGH
Adani Ports and Special Economic Zone Limited,32383.08,BRSR_XBRL,HIGH
ADANI POWER LIMITED,60281.0,BRSR_XBRL,HIGH
Adani Total Gas Limited,5411.68,BRSR_XBRL,HIGH
Aditya Birla Capital Limited,40589.98,BRSR_XBRL,HIGH
Aditya Birla Fashion and Retail Limited,7733.12,Gemini_Low,LOW
Aditya Birla Sun Life AMC Limited,1659.0874554,BRSR_XBRL,HIGH
Aegis Logistics Limited,2980.3505,BRSR_XBRL,HIGH
Aether Industries Limited,991.99,Gemini_Medium,MEDIUM
AIA ENGINEERING LIMITED,4062.0415,BRSR_XBRL,HIGH
Ajanta Pharma Limited,4648.1,BRSR_XBRL,HIGH
Akzo Nobel India Limited,4091.211,BRSR_XBRL,HIGH
ALEMBIC PHARMACEUTICALS LIMITED,6032.632314292,BRSR_XBRL,HIGH
Alkem Laboratories Limited,10551.132578511,BRSR_XBRL,HIGH
ALKYL AMINES CHEMICALS LIMITED,1601.62,BRSR_XBRL,HIGH
ALOK INDUSTRIES LIMITED,3801.8408982,BRSR_XBRL,HIGH
Amara Raja Energy  Mobility Limited,12404.8988372,BRSR_XBRL,HIGH
Amber Enterprises India Limited,9973.015655987,BRSR_XBRL,HIGH
Ambuja Cements Limited,18857.0,BRSR_XBRL,HIGH
Anand Rathi Wealth Limited,905.0699,BRSR_XBRL,HIGH
Anant Raj Limited,1228.5977135,BRSR_XBRL,HIGH
Anupam Rasayan India Limited,1505.316,BRSR_XBRL,HIGH
APAR Industries Limited,18581.21169103,BRSR_XBRL,HIGH
APL Apollo Tubes Limited,20689.540554482,BRSR_XBRL,HIGH
Apollo Tyres Limited,17870.600635,BRSR_XBRL,HIGH
Aptus Value Housing Finance India Limited,1798.0,BRSR_XBRL,HIGH
ARVIND LIMITED,8621.9527161,BRSR_XBRL,HIGH
Asahi India Glass Limited,4347.8256667,BRSR_XBRL,HIGH
Ashok Leyland Limited,45276.0,BRSR_XBRL,HIGH
Asian Paints Limited,37172.75,BRSR_XBRL,HIGH
Aster DM Healthcare Limited,4138.46,BRSR_XBRL,HIGH
Astral Limited,6415.6831175,BRSR_XBRL,HIGH
AstraZeneca Pharma India Limited,1716.29166566,BRSR_XBRL,HIGH
Atul Limited,5074.6806729,BRSR_XBRL,HIGH
AUROBINDO PHARMA LIMITED,34498.9947647,BRSR_XBRL,HIGH
Authum Investment  Infrastructure Limited,2477.0,Manual_Verified,HIGH
AU Small Finance Bank Limited,18590.0420368,BRSR_XBRL,HIGH
Avenue Supermarts Limited,57790.0,BRSR_XBRL,HIGH
Axis Bank Limited,147934.0963169,BRSR_XBRL,HIGH
Bajaj Auto Limited,51431.0,BRSR_XBRL,HIGH
BAJAJ ELECTRICALS LIMITED,5157.498897496,BRSR_XBRL,HIGH
Bajaj Finance Limited,69724.78409169799,BRSR_XBRL,HIGH
Bajaj Finserv Limited,133822.12,BRSR_XBRL,HIGH
Bajaj Holdings  Investment Limited,3175.69,BRSR_XBRL,HIGH
Balkrishna Industries Limited,10412.884288819,BRSR_XBRL,HIGH
Balrampur Chini Mills Limited,5593.740142973001,BRSR_XBRL,HIGH
Bandhan Bank Limited,24914.8287054,BRSR_XBRL,HIGH
BANK OF INDIA,79820.0,BRSR_XBRL,HIGH
BANK OF MAHARASHTRA,234930.0,BRSR_XBRL,HIGH
BASF India Limited,15162.35,BRSR_XBRL,HIGH
BATA INDIA LIMITED,3488.026095156,BRSR_XBRL,HIGH
BEML Limited,3965.0,BRSR_XBRL,HIGH
Bharat Dynamics Limited,3345.0516,BRSR_XBRL,HIGH
BHARAT ELECTRONICS LIMITED,23024.0983334,BRSR_XBRL,HIGH
Bharat Forge Limited,8968.634,BRSR_XBRL,HIGH
BHARAT HEAVY ELECTRICALS LIMITED,28842.87,BRSR_XBRL,HIGH
Bharti Airtel Limited,108943.8519731,BRSR_XBRL,HIGH
Bharti Hexacom Limited,8729.7,BRSR_XBRL,HIGH
Bikaji Foods International Limited,2536.8626,BRSR_XBRL,HIGH
Biocon Limited,16475.9,Gemini_Medium,MEDIUM
Birlasoft Limited,2657.88455729,BRSR_XBRL,HIGH
Birla Corporation Limited,9748.3056472,BRSR_XBRL,HIGH
BLS International Services Limited,138.4863383,BRSR_XBRL,HIGH
Blue Dart Express Limited,5720.1833752,BRSR_XBRL,HIGH
