Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
Aarti Industries Limited,Chemicals,Distribution/Service Location,12,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ABB India Limited,Capital Goods,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ACC Limited,Construction Materials,Distribution/Service Location,16,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Adani Enterprises Limited,Metals & Mining,Distribution/Service Location,43,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Adani Ports and Special Economic Zone Limited,Services,Distribution/Service Location,48,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ADANI POWER LIMITED,Power,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Adani Total Gas Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,1255,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Aditya Birla Fashion and Retail Limited,Consumer Services,Retail Store,19,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Aether Industries Limited,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
AIA ENGINEERING LIMITED,Capital Goods,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Ajanta Pharma Limited,,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Akzo Nobel India Limited,Consumer Durables,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ALEMBIC PHARMACEUTICALS LIMITED,Healthcare,Clinic/Pharmacy,10,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Alkem Laboratories Limited,Healthcare,Clinic/Pharmacy,11,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
ALKYL AMINES CHEMICALS LIMITED,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
ALOK INDUSTRIES LIMITED,Textiles,Distribution/Service Location,11,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Amara Raja Energy  Mobility Limited,,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Amber Enterprises India Limited,Consumer Durables,Distribution/Service Location,27,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Ambuja Cements Limited,Construction Materials,Distribution/Service Location,14,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Anupam Rasayan India Limited,Chemicals,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
APAR Industries Limited,Capital Goods,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
