Company_Name,Sector_Original,Sector_Expert,Revenue_Cr
APL Apollo Tubes Limited,Chemicals & Fertilizers,Steel & Iron,20689.643352161795
Aavas Financiers Limited,Chemicals & Fertilizers,Financial Services,2358.276986442422
Adani Energy Solutions Limited,Power Generation,Chemicals & Fertilizers,24446.54528252705
Adani Ports and Special Economic Zone Limited,Chemicals & Fertilizers,Cement,30561.93548387097
Adani Total Gas Limited,Chemicals & Fertilizers,Oil & Gas,5411.674412959513
Aditya Birla Capital Limited,Chemicals & Fertilizers,Financial Services,40585.55147058824
Alkem Laboratories Limited,Chemicals & Fertilizers,Pharmaceuticals,10551.182898481458
Amara Raja Energy  Mobility Limited,Power Generation,Chemicals & Fertilizers,0.0012404889999999
Aptus Value Housing Finance India Limited,Chemicals & Fertilizers,Financial Services,1750.0013883052864
Aster DM Healthcare Limited,Chemicals & Fertilizers,Pharmaceuticals,4138.456776832813
Bajaj Finance Limited,Chemicals & Fertilizers,Financial Services,69734.2906774754
Bajaj Holdings  Investment Limited,Chemicals & Fertilizers,Financial Services,1600.254864705497
Bikaji Foods International Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0253686259999502
Biocon Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0024848999999971
Brigade Enterprises Limited,Chemicals & Fertilizers,Cement,5074.207710948835
Britannia Industries Limited,Chemicals & Fertilizers,Pharmaceuticals,17295.866037299525
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,Information Technology,0.0038386999998908
CESC Limited,Chemicals & Fertilizers,Power Generation,9583.999406498822
COAL INDIA LIMITED,Chemicals & Fertilizers,Steel & Iron,14336.893989228613
Capri Global Capital Limited,Chemicals & Fertilizers,Financial Services,2410.1510824504835
Cholamandalam Investment and Finance Company Limited,Chemicals & Fertilizers,Financial Services,26051.85078079815
Cipla Limited,Chemicals & Fertilizers,Pharmaceuticals,27547.60979401477
Coforge Limited,Chemicals & Fertilizers,Information Technology,5556.727186236422
Computer Age Management Services Limited,Chemicals & Fertilizers,Information Technology,1422.4932963476651
Concord Biotech Limited,Information Technology,Pharmaceuticals,1200.0874441278045
CreditAccess Grameen Limited,Cement,Financial Services,5755.92504177608
DCM Shriram Limited,Chemicals & Fertilizers,Financial Services,12368.80644373932
DIVIS LABORATORIES LIMITED,Chemicals & Fertilizers,Pharmaceuticals,9198.08368892662
DLF Limited,Chemicals & Fertilizers,Cement,7993.685441941074
Dalmia Bharat Limited,Chemicals & Fertilizers,Cement,13978.956999085089
Data Patterns India Limited,Chemicals & Fertilizers,Information Technology,708.3478260869564
Dr Reddys Laboratories Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0326439000000683
Five-Star Business Finance Limited,Chemicals & Fertilizers,Financial Services,2847.9810676598386
Fortis Healthcare Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0652803000006444
GAIL India Limited,Chemicals & Fertilizers,Oil & Gas,0.0137287999999984
GLOBAL HEALTH LIMITED,Chemicals & Fertilizers,Pharmaceuticals,0.0369230999992284
GODAWARI POWER AND ISPAT LIMITED,Power Generation,Steel & Iron,4661.2446911217085
GUJARAT GAS LIMITED,Chemicals & Fertilizers,Oil & Gas,17185.15741616735
