Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,Priority,Data_Source_Expected,Has_BRSR,Source,Website,Revenue_Cr
IndiGo (InterGlobe Aviation),INTERGLOBE,,Aviation & Airports,0,CRITICAL,Annual Report,No,Strategic_Addition,,
Air India,AIRINDIA,,Aviation & Airports,0,CRITICAL,Annual Report,No,Strategic_Addition,,
SpiceJet,SPICEJET,,Aviation & Airports,0,CRITICAL,Annual Report,No,Strategic_Addition,,
Go First (GoAir),GOFIRST,,Aviation & Airports,0,HIGH,Annual Report,No,Strategic_Addition,,
Vistara (TATA SIA Airlines),,,Aviation & Airports,0,HIGH,Tata Annual Report,No,Strategic_Addition,,
Air Asia India,,,Aviation & Airports,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Alliance Air,,,Aviation & Airports,0,MEDIUM,Air India Report,No,Strategic_Addition,,
Akasa Air,,,Aviation & Airports,0,MEDIUM,Sustainability Report,No,Strategic_Addition,,
"GMR Airports (Delhi, Hyderabad)",GMRINFRA,,Aviation & Airports,0,CRITICAL,Annual Report,No,Strategic_Addition,,
"Adani Airports (Mumbai, Ahmedabad, 6 others)",ADANIPORTS,,Aviation & Airports,0,CRITICAL,Adani ESG Report,No,Strategic_Addition,,
GVK Mumbai Airport,GVKPIL,,Aviation & Airports,0,HIGH,Annual Report,No,Strategic_Addition,,
Bangalore International Airport Ltd (BIAL),,,Aviation & Airports,0,HIGH,Sustainability Report,No,Strategic_Addition,,
Cochin International Airport,,,Aviation & Airports,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Airports Authority of India (AAI),,,Aviation & Airports,0,MEDIUM,Government Report,No,Strategic_Addition,,
Delhi International Airport Ltd (DIAL),,,Aviation & Airports,0,MEDIUM,GMR Report,No,Strategic_Addition,,
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,,,Steel & Iron,0,CRITICAL,Annual Report,No,Strategic_Addition,,
Essar Steel India,,,Steel & Iron,0,CRITICAL,ArcelorMittal Report,No,Strategic_Addition,,
Electrosteel Castings,ELECTCAST,,Steel & Iron,0,HIGH,Annual Report,No,Strategic_Addition,,
Uttam Galva Steels,UTTEMSUGAR,,Steel & Iron,0,HIGH,Annual Report,No,Strategic_Addition,,
Monnet Ispat,,,Steel & Iron,0,HIGH,Annual Report,No,Strategic_Addition,,
Bhushan Steel,,,Steel & Iron,0,HIGH,Tata Steel Report,No,Strategic_Addition,,
Usha Martin,USHAMART,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Kalyani Steels,KALYANIFRG,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Sunflag Iron and Steel,SUNFLAG,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Electrosteel Steels,ELECTROCAST,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Visa Steel,,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Adhunik Metaliks,ADHUNIKIND,,Steel & Iron,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Tayo Rolls,TAYORROLLS,,Steel & Iron,0,LOW,Annual Report,No,Strategic_Addition,,
Mukand,MUKANDLTD,,Steel & Iron,0,LOW,Annual Report,No,Strategic_Addition,,
APL Apollo Tubes,APLAPOLLO,,Steel & Iron,0,LOW,Annual Report,No,Strategic_Addition,,
Nuvoco Vistas Corp (Nirma Cement),NUVOCO,,Cement,0,HIGH,Annual Report,No,Strategic_Addition,,
Sagar Cements,SAGCEM,,Cement,0,HIGH,Annual Report,No,Strategic_Addition,,
Sanghi Industries,SANGHIIND,,Cement,0,HIGH,Annual Report,No,Strategic_Addition,,
Birla Corporation,BIRLACORPN,,Cement,0,HIGH,Annual Report,No,Strategic_Addition,,
JK Lakshmi Cement,JKLAKSHMI,,Cement,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Kesoram Industries (Cement Division),KESORAMIND,,Cement,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Prism Johnson (Cement),PRSMJOHNSN,,Cement,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Mangalam Cement,MANGALAM,,Cement,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Burnpur Cement,BURNPUR,,Cement,0,LOW,Annual Report,No,Strategic_Addition,,
Cement Corporation of India,,,Cement,0,LOW,Government Report,No,Strategic_Addition,,
Nestle India,NESTLEIND,,Agriculture & Food Processing,0,CRITICAL,Sustainability Report,No,Strategic_Addition,,
Britannia Industries,BRITANNIA,,Agriculture & Food Processing,0,CRITICAL,Annual Report,No,Strategic_Addition,,
Amul (GCMMF),,,Agriculture & Food Processing,0,CRITICAL,Annual Report,No,Strategic_Addition,,
Mother Dairy,,,Agriculture & Food Processing,0,HIGH,Annual Report,No,Strategic_Addition,,
Parle Products,,,Agriculture & Food Processing,0,HIGH,Industry Report,No,Strategic_Addition,,
Varun Beverages (PepsiCo franchise),VBL,,Agriculture & Food Processing,0,HIGH,Annual Report,No,Strategic_Addition,,
Coca-Cola India,,,Agriculture & Food Processing,0,HIGH,Coca-Cola ESG Report,No,Strategic_Addition,,
Marico,MARICO,,Agriculture & Food Processing,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Dabur India,DABUR,,Agriculture & Food Processing,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Haldiram,,,Agriculture & Food Processing,0,MEDIUM,Industry Report,No,Strategic_Addition,,
Bikaji Foods,BIKAJI,,Agriculture & Food Processing,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Mrs. Bectors Food Specialities,MRSBECTORS,,Agriculture & Food Processing,0,LOW,Annual Report,No,Strategic_Addition,,
Hatsun Agro Products,HATSUN,,Agriculture & Food Processing,0,LOW,Annual Report,No,Strategic_Addition,,
Heritage Foods,HERITGFOOD,,Agriculture & Food Processing,0,LOW,Annual Report,No,Strategic_Addition,,
Kwality,KWALITY,,Agriculture & Food Processing,0,LOW,Annual Report,No,Strategic_Addition,,
ITC Limited (Paperboards Division),ITC,,Paper & Pulp,0,CRITICAL,ITC BRSR (extract paper division),No,Strategic_Addition,,
West Coast Paper Mills,WSTCSTPAPR,,Paper & Pulp,0,HIGH,Annual Report,No,Strategic_Addition,,
Tamil Nadu Newsprint and Papers (TNPL),TNPL,,Paper & Pulp,0,HIGH,Annual Report,No,Strategic_Addition,,
Ballarpur Industries (BILT),BALLARPUR,,Paper & Pulp,0,HIGH,Annual Report,No,Strategic_Addition,,
JK Paper,JKPAPER,,Paper & Pulp,0,HIGH,Annual Report,No,Strategic_Addition,,
Seshasayee Paper and Boards,SESHAPAPER,,Paper & Pulp,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Andhra Pradesh Paper Mills,APPAPER,,Paper & Pulp,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Century Pulp and Paper,CENTURYPLY,,Paper & Pulp,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Rama Paper Mills,RAMAPHO,,Paper & Pulp,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Shreyans Industries (Paper),SHREYAIND,,Paper & Pulp,0,LOW,Annual Report,No,Strategic_Addition,,
Emami Paper Mills,EMAMIPAPER,,Paper & Pulp,0,LOW,Annual Report,No,Strategic_Addition,,
Hindustan Paper Corporation,,,Paper & Pulp,0,LOW,Government Report,No,Strategic_Addition,,
Coal India Limited,COALINDIA,,Mining & Minerals,0,CRITICAL,Annual Report,No,Strategic_Addition,,
NMDC (National Mineral Development Corporation),NMDC,,Mining & Minerals,0,CRITICAL,Annual Report,No,Strategic_Addition,,
"Vedanta Resources (Zinc, Copper, Iron)",VEDL,,Mining & Minerals,0,CRITICAL,Sustainability Report,No,Strategic_Addition,,
MOIL (Manganese Ore India),MOIL,,Mining & Minerals,0,HIGH,Annual Report,No,Strategic_Addition,,
Hindustan Copper,HINDCOPPER,,Mining & Minerals,0,HIGH,Annual Report,No,Strategic_Addition,,
GMDC (Gujarat Mineral Development Corporation),GMDCLTD,,Mining & Minerals,0,HIGH,Annual Report,No,Strategic_Addition,,
