Company_Name,Facility_ID,Facility_Type,Latitude,Longitude,City,State,Facility_Name
Aarti Industries Limited,4,Facility,22.2973142,73.1942567,Vadodara,Gujarat,Facility
ADANI POWER LIMITED,3,Facility,22.8393153,69.7249477,Mundra,,Facility
Aditya Birla Fashion and Retail Limited,3,Plant,28.4646148,77.0299194,Gurugram,Haryana,Plant
AIA ENGINEERING LIMITED,3,Facility,22.8278859,72.3684741,Bavla,,Facility
ALKYL AMINES CHEMICALS LIMITED,3,Facility,22.3850051,71.745261,,Gujarat,Facility
ALKYL AMINES CHEMICALS LIMITED,4,Facility,18.8388649,73.3169822,Patalganga,,Facility
ARVIND LIMITED,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Ashok Leyland Limited,3,Facility,30.0417376,79.089691,,Uttarakhand,Facility
Astral Limited,3,Facility,17.360589,78.4740613,Hyderabad,Telangana,Facility
Atul Limited,2,Corporate Office,22.3850051,71.745261,,Gujarat,Corporate Office
AUROBINDO PHARMA LIMITED,3,Plant,26.8105777,73.7684549,,Rajasthan,Plant
Avenue Supermarts Limited,3,Facility,21.1498134,79.0820556,Nagpur,,Facility
BAJAJ ELECTRICALS LIMITED,3,Facility,20.0112475,73.7902364,Nashik,Maharashtra,Facility
BAJAJ ELECTRICALS LIMITED,4,Facility,20.0112475,73.7902364,Nashik,Maharashtra,Facility
Bajaj Finance Limited,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
Birlasoft Limited,3,Facility,18.5213738,73.8545071,Pune,Maharashtra,Facility
Birla Corporation Limited,3,Plant,26.8105777,73.7684549,,Rajasthan,Plant
Britannia Industries Limited,3,Plant,25.6440845,85.906508,,Bihar,Plant
Century Plyboards India Limited,4,Facility,22.5726459,88.3638953,Kolkata,West Bengal,Facility
CHENNAI PETROLEUM CORPORATION LIMITED,2,Plant,13.0836939,80.270186,Chennai,Tamil Nadu,Plant
COAL INDIA LIMITED,2,Facility,22.3850051,71.745261,,Gujarat,Facility
Dalmia Bharat Limited,3,Plant,15.9240905,80.1863809,,Andhra Pradesh,Plant
Dalmia Bharat Limited,4,Plant,14.9562045,75.7896741,,Karnataka,Plant
DCM Shriram Limited,2,Facility,25.1737019,75.8574194,Kota,,Facility
Dr Reddys Laboratories Limited,2,Plant,17.360589,78.4740613,Hyderabad,Telangana,Plant
GAIL India Limited,2,Plant,22.4732415,70.0552102,Jamnagar,,Plant
GAIL India Limited,3,Facility,9.9679032,76.2444378,Kochi,,Facility
Garden Reach Shipbuilders  Engineers Limited,2,Plant,22.5726459,88.3638953,Kolkata,West Bengal,Plant
GlaxoSmithKline Pharmaceuticals Limited,2,Plant,20.0112475,73.7902364,Nashik,Maharashtra,Plant
HERO MOTOCORP LIMITED,2,Plant,26.8105777,73.7684549,,Rajasthan,Plant
HFCL Limited,4,Facility,28.6138954,77.2090057,Delhi,Delhi,Facility
Hindustan Petroleum Corporation Limited,4,Facility,19.054999,72.8692035,Mumbai,Maharashtra,Facility
Indian Oil Corporation Limited,3,Plant,22.3850051,71.745261,,Gujarat,Plant
Indian Oil Corporation Limited,4,Plant,29.3912753,76.9771675,Panipat,Haryana,Plant
Indian Oil Corporation Limited,8,Facility,29.3912753,76.9771675,Panipat,Haryana,Facility
