Company_Name,Facility_Count,Plant_Count
Crisil Limited,24,1
Angel One Limited,24,0
UCO BANK,24,0
Indian Bank,24,0
L&T Finance Limited,24,0
Mahindra & Mahindra Financial Services Limited,24,0
Bank of Baroda,24,0
Bajaj Holdings & Investment Limited,24,0
Authum Investment & Infrastructure Limited,24,0
Varun Beverages Limited,16,5
Triveni Engineering & Industries Limited,16,4
INDIAMART INTERMESH LIMITED,12,0
Westlife Foodworld Limited,12,0
Thomas Cook  (India)  Limited,12,0
Tata Teleservices (Maharashtra) Limited,12,0
Minda Corporation Limited,8,6
Havells India Limited,7,2
Himadri Speciality Chemical Limited,7,2
GAIL (India) Limited,6,0
Castrol India Limited,6,0
CIE AUTOMOTIVE INDIA LIMITED,6,1
Techno Electric & Engineering Company Limited,6,0
JK Tyre & Industries Limited,6,2
Sandur Manganese & Iron Ores Limited,6,0
Mahindra & Mahindra Limited,6,2
Larsen & Toubro Limited,6,0
Schaeffler India Limited,6,2
DIVI'S LABORATORIES LIMITED,6,0
Sanofi India Limited,6,0
Amara Raja Energy & Mobility Limited,6,2
NBCC (India) Limited,6,0
Narayana Hrudayalaya Ltd.,6,0
Dr. Reddy's Laboratories Limited,6,0
Dixon Technologies (India) Limited,5,2
Electrosteel Castings Limited,5,0
Safari Industries (India) Limited,5,2
Jindal Saw Limited,5,1
LTIMindtree Limited,5,0
Siemens Limited,5,1
KSB Limited,5,1
ABB India Limited,5,1
Archean Chemical Industries Limited,5,1
Century Plyboards (India) Limited,5,2
Dabur India,4,0
Rama Paper Mills,4,0
Akasa Air,4,0
Alliance Air,4,0
Sanghi Industries,4,0
Amul (GCMMF),4,0
Sagar Cements,4,0
Andhra Pradesh Paper Mills,4,0
SARDA ENERGY & MINERALS LIMITED,4,0
S Kumars Nationwide,4,0
Raymond,4,0
Ratnamani Metals & Tubes Limited,4,0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,4,0
Punjab & Sind Bank,4,0
Shreyans Industries (Paper),4,0
Procter & Gamble Health Limited,4,0
Prism Johnson (Cement),4,0
Parle Products,4,0
Odisha Mining Corporation,4,0
Nuvoco Vistas Corp (Nirma Cement),4,0
Neyveli Lignite Corporation,4,0
Nestle India,4,0
NMDC (National Mineral Development Corporation),4,0
Arvind Limited,4,0
Mukand,4,0
Mrs. Bectors Food Specialities,4,0
Seshasayee Paper and Boards,4,0
Airports Authority of India (AAI),4,0
Monnet Ispat,4,0
"Adani Airports (Mumbai, Ahmedabad, 6 others)",4,0
West Coast Paper Mills,4,0
Welspun India,4,0
Vistara (TATA SIA Airlines),4,0
Visa Steel,4,0
Vesuvius India Limited,4,0
"Vedanta Resources (Zinc, Copper, Iron)",4,0
APL Apollo Tubes,4,0
Varun Beverages (PepsiCo franchise),4,0
Vardhman Textiles,4,0
Uttam Galva Steels,4,0
Usha Martin,4,0
Adhunik Metaliks,4,0
Signatureglobal (India) Limited,4,0
Trident Limited,4,0
Torrent Power,4,0
"Aditya Birla Fashion (Allen Solly, Peter England)",4,0
Air Asia India,4,0
Tayo Rolls,4,0
Air India,4,0
Tata Power,4,0
Tamil Nadu Newsprint and Papers (TNPL),4,0
Sunflag Iron and Steel,4,0
SpiceJet,4,0
Siyaram Silk Mills,4,0
Mother Dairy,4,0
Ballarpur Industries (BILT),4,0
Damodar Valley Corporation,4,0
Marico,4,0
IndiGo (InterGlobe Aviation),4,0
ITC Limited (Paperboards Division),4,0
CCL Products (India) Limited,4,0
Hindustan Paper Corporation,4,0
Hindustan Copper,4,0
Cement Corporation of India,4,0
Heritage Foods,4,0
Hatsun Agro Products,4,0
Haldiram,4,0
Gujarat State Electricity Corporation,4,0
Go First (GoAir),4,0
Garden Reach Shipbuilders & Engineers Limited,4,0
GVK Mumbai Airport,4,0
"GMR Airports (Delhi, Hyderabad)",4,0
GMDC (Gujarat Mineral Development Corporation),4,0
Century Pulp and Paper,4,0
Essar Steel India,4,0
Emami Paper Mills,4,0
Electrosteel Steels,4,0
Coal India Limited,4,0
Electrosteel Castings,4,0
Coca-Cola India,4,0
Cochin International Airport,4,0
Delhi International Airport Ltd (DIAL),4,0
Data Patterns (India) Limited,4,0
C.E. INFO SYSTEMS LIMITED,4,0
Ion Exchange (India) Limited,4,0
JINDAL STEEL & POWER LIMITED,4,0
Kesoram Industries (Cement Division),4,0
Mangalam Cement,4,0
Mahindra Holidays & Resorts India Limited,4,0
Bangalore International Airport Ltd (BIAL),4,0
Bharat Heavy Electricals Limited (BHEL),4,0
MOIL (Manganese Ore India),4,0
Bhushan Steel,4,0
Bikaji Foods,4,0
L&T Technology Services Limited,4,0
Birla Corporation,4,0
JK Lakshmi Cement,4,0
Kwality,4,0
Karnataka State Mineral Corporation,4,0
Kalyani Steels,4,0
Bombay Dyeing,4,0
KPR Mill,4,0
KIOCL (Kudremukh Iron Ore Company),4,0
AP Mineral Development Corporation,4,0
Britannia Industries,4,0
JSW Energy,4,0
Burnpur Cement,4,0
JK Paper,4,0
K.P.R. MILL LIMITED,4,0
LT Technology Services Limited,3,1
Larsen  Toubro Limited,3,1
LT Finance Limited,1,0
