Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR
Crisil Limited,Other Business Services,90832989690.0,1009.255441,Other business activities,0.05,50.462772050000005,0.05,0.5555555555555556
Angel One Limited,Other Business Services,25000000000.0,277.77777777777777,Other business activities,0.05,13.88888888888889,0.05,0.5555555555555556
UCO BANK,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
Indian Bank,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
L&T Finance Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
Mahindra & Mahindra Financial Services Limited,Other Business Services,90832989690.0,1009.255441,Other business activities,0.05,50.462772050000005,0.05,0.5555555555555556
Bank of Baroda,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
Bajaj Holdings & Investment Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
Authum Investment & Infrastructure Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.05555555555555555
Varun Beverages Limited,FMCG / Consumer Goods,120000000000.0,1333.3333333333333,Food products nec,0.5,666.6666666666666,0.5,5.555555555555555
Triveni Engineering & Industries Limited,Other Business Services,69638625429.0,773.7625047666667,Other business activities,0.05,38.688125238333335,0.05,0.5555555555555556
INDIAMART INTERMESH LIMITED,Retail,115580.0,0.0012842222222222222,Other business activities,0.05,6.421111111111111e-05,0.05,0.5555555555555556
Westlife Foodworld Limited,FMCG / Consumer Goods,181414605312.0,2015.7178368,Food products nec,0.5,1007.8589184,0.5,5.555555555555555
Thomas Cook  (India)  Limited,Other Business Services,60555326460.0,672.8369606666666,Other business activities,0.05,33.64184803333333,0.05,0.5555555555555555
Tata Teleservices (Maharashtra) Limited,Other Business Services,60555326460.0,672.8369606666666,Other business activities,0.05,33.64184803333333,0.05,0.5555555555555555
Minda Corporation Limited,Other Business Services,45000000000.0,500.0,Other business activities,0.05,25.0,0.05,0.5555555555555556
Havells India Limited,Other Business Services,120000000000.0,1333.3333333333333,Other business activities,0.05,66.66666666666667,0.05,0.5555555555555556
Himadri Speciality Chemical Limited,Chemicals,125775162982.5,1397.5018109166667,Chemicals nec,0.15,209.6252716375,0.15,1.6666666666666665
GAIL (India) Limited,Oil & Gas,850000000000.0,9444.444444444445,Mining of coal and lignite; extraction of peat,0.4,3777.7777777777783,0.4,4.444444444444445
Castrol India Limited,Other Business Services,50000000000.0,555.5555555555555,Other business activities,0.05,27.77777777777778,0.05,0.5555555555555556
CIE AUTOMOTIVE INDIA LIMITED,Automobile,611333301210.0,6792.592235666667,Construction,0.1,679.2592235666667,0.1,1.1111111111111114
Techno Electric & Engineering Company Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.11111111111111112
JK Tyre & Industries Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Sandur Manganese & Iron Ores Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114
Mahindra & Mahindra Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Larsen & Toubro Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Schaeffler India Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
DIVI'S LABORATORIES LIMITED,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Sanofi India Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Amara Raja Energy & Mobility Limited,Power,113743349952.0,1263.8149994666667,Production of electricity by coal,0.12,151.657799936,0.12,1.3333333333333333
NBCC (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Narayana Hrudayalaya Ltd.,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Dr. Reddy's Laboratories Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Dixon Technologies (India) Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.11111111111111112
Electrosteel Castings Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114
Safari Industries (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Jindal Saw Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
LTIMindtree Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Siemens Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
KSB Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
ABB India Limited,Other Business Services,95000000000.0,1055.5555555555557,Other business activities,0.05,52.777777777777786,0.05,0.5555555555555557
Archean Chemical Industries Limited,Chemicals,125775162982.5,1397.5018109166667,Chemicals nec,0.15,209.6252716375,0.15,1.6666666666666665
Century Plyboards (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556
Dabur India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Rama Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Akasa Air,Other Business Services,10000000000.0,111.11111111111111,Other business activities,0.05,5.555555555555556,0.05,0.5555555555555556
Alliance Air,Other Business Services,5000000000.0,55.55555555555556,Other business activities,0.05,2.777777777777778,0.05,0.5555555555555556
Sanghi Industries,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Amul (GCMMF),Other Business Services,550000000000.0,6111.111111111111,Other business activities,0.05,305.5555555555556,0.05,0.5555555555555557
Sagar Cements,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Andhra Pradesh Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
SARDA ENERGY & MINERALS LIMITED,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
S Kumars Nationwide,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
