Sector,count,median,mean,std,min,max
Automobile,9,407555534140.0,523074606692.0,528220544504.0,36251.0,1518998964123.0
Cement,9,84956751986.0,96723016170.0,70597322613.0,75955.0,205940012417.0
Chemicals,8,83850108655.0,104337049085.0,90402596188.0,15718203602.0,295526759254.0
FMCG / Consumer Goods,7,90707302656.0,185256970553.0,257740595341.0,7581.0,743256484150.0
Financial Services,55,185899078915.0,539518089849.0,1029387242507.0,3498.0,4887995296884.0
Healthcare,6,23961484697.0,73425649080.0,93753632895.0,652803.0,206896433522.0
Hotels & Tourism,3,94427.0,4286971885.0,7425156462.0,17178.0,12860804049.0
IT Services,5,529874324988.0,610113584427.0,683652572972.0,119387.0,1629808355692.0
Media & Entertainment,3,113255169541.0,89125363206.0,43606671096.0,38787021484.0,115333898593.0
Mining,3,236679301870.0,636576026643.0,774856450919.0,143368939892.0,1529679838165.0
Oil & Gas,12,65008233918.0,1600939629730.0,2913446993010.0,24849.0,8452401055409.0
Other Business Services,299,30277663230.0,84620159014.0,207835986188.0,2095.0,2553239865353.0
Pharmaceuticals,16,56591693624.0,113027117218.0,121361329716.0,9498.0,372361254740.0
Power,11,75828899968.0,313731696349.0,504430874358.0,45792.0,1700341356076.0
Real Estate,5,52863393864.0,51104656086.0,31428021116.0,2530.0,79936854419.0
Retail,3,57790.0,14785307609.0,25608840970.0,14973.0,44355850065.0
Steel & Iron,7,479020000000.0,628097633630.0,553061172640.0,8503.0,1325166642159.0
Telecommunications,2,760497550050.0,760497550050.0,465171952134.0,431571308279.0,1089423791822.0
Textiles,4,81260175345.0,62718107921.0,42140779906.0,181465.0,88351899529.0
