Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank,Company_Name_Clean,Unique_Tier1_Indicators,Tier1_Coverage_Pct
GAIL (India) Limited,Oil & Gas,850000000000.0,9444.444444444443,Mining of coal and lignite; extraction of peat,0.4,3777.7777777777774,0.4,4.444444444444445,6,14.0,gail (india) limited,5,45.45454545454545
JSW Steel Limited,Steel & Iron,1256780084662.5432,13964.223162917147,Construction,0.1,1396.4223162917149,0.0999999999928388,1.1111111102270177,11,111.0,jsw steel limited,16,145.45454545454547
Nestle India Limited,FMCG / Consumer Goods,200774777975.13324,2230.830866390369,Food products nec,0.5,1115.4154331951847,0.4999999997758683,5.555555527884971,13,8.0,nestle india limited,0,0.0
Odisha Mining Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,17,14.0,odisha mining corporation,0,0.0
Tata Motors Limited,Automobile,680230265661.8711,7558.114062909679,Construction,0.1,755.811406290968,0.0999999999867691,1.1111111094776775,28,114.0,tata motors limited,9,81.81818181818183
COAL INDIA LIMITED,Mining,143368939892.28613,1592.9882210254016,Mining of coal and lignite; extraction of peat,0.4,637.1952884101606,0.3999999997488995,4.444444413444394,33,28.0,coal india limited,5,45.45454545454545
Uttam Galva Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,39,85.0,uttam galva steels,0,0.0
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,40,85.0,kiocl (kudremukh iron ore company),0,0.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,44,85.0,rashtriya ispat nigam limited (rinl) - vizag steel,0,0.0
Kalyani Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,45,85.0,kalyani steels,0,0.0
Electrosteel Castings,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,46,85.0,electrosteel castings,0,0.0
Visa Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,49,85.0,visa steel,1,9.090909090909092
Jindal Stainless Limited,Steel & Iron,401819782181.8428,4464.664246464919,Construction,0.1,446.466424646492,0.0999999999776019,1.1111111083459135,63,118.0,jindal stainless limited,16,145.45454545454547
Welspun Corp Limited,Textiles,88351899529.22842,981.6877725469824,Textiles,0.3,294.50633176409474,0.2999999996944038,3.3333332956054145,71,37.0,welspun corp limited,11,100.0
ARVIND LIMITED,Textiles,76295807644.88286,847.7311960542539,Textiles,0.3,254.31935881627612,0.2999999996461142,3.333333289643733,80,39.0,arvind limited,4,36.36363636363637
Indus Towers Limited,Other Business Services,301227774257.35614,3346.9752695261795,Other business activities,0.05,167.348763476309,0.0499999999850611,0.5555555537112518,101,253.0,indus towers limited,1,9.090909090909092
Dalmia Bharat Limited,Cement,139789569990.85086,1553.2174443427873,Construction,0.1,155.32174443427874,0.0999999999356175,1.1111111031626564,105,122.0,dalmia bharat limited,14,127.27272727272727
Adani Energy Solutions Limited,Other Business Services,244465452825.2705,2716.2828091696724,Other business activities,0.05,135.81414045848362,0.0499999999815924,0.5555555532830236,109,256.0,adani energy solutions limited,19,172.72727272727272
UNITED BREWERIES LIMITED,Other Business Services,194690476190.4762,2163.227513227513,Other business activities,0.05,108.16137566137566,0.0499999999768863,0.5555555527020233,118,262.0,united breweries limited,10,90.9090909090909
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,60326313010.35322,670.2923667817024,Chemicals nec,0.15,100.54385501725535,0.149999999776217,1.666666639039143,130,54.0,alembic pharmaceuticals limited,18,163.63636363636365
Sagar Cements,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,135,85.0,sagar cements,6,54.54545454545454
Piramal Pharma Limited,Pharmaceuticals,52857074238.44545,587.3008248716161,Chemicals nec,0.15,88.09512373074242,0.1499999997445942,1.666666635135095,148,55.0,piramal pharma limited,10,90.9090909090909
Atul Limited,Chemicals,50746812291.4792,563.8534699053245,Chemicals nec,0.15,84.57802048579866,0.1499999997339734,1.6666666338238818,150,56.0,atul limited,2,18.181818181818183
Tech Mahindra Limited,IT Services,529874324987.727,5887.492499863633,Computer and related activities,0.01,58.87492499863634,0.0099999999983014,0.1111111109014178,186,556.0,tech mahindra limited,14,127.27272727272727
Oberoi Realty Limited,Real Estate,52863393864.40555,587.3710429378394,Construction,0.1,58.73710429378394,0.0999999998297498,1.1111110900925762,187,128.0,oberoi realty limited,15,136.36363636363635
CESC Limited,Other Business Services,95839994064.98822,1064.8888229443137,Other business activities,0.05,53.24444114721568,0.0499999999530467,0.555555549758857,198,295.0,cesc limited,11,100.0
Birla Corporation Limited,Other Business Services,92144970856.62083,1023.8330095180092,Other business activities,0.05,51.19165047590047,0.0499999999511639,0.555555549526409,201,296.0,birla corporation limited,3,27.27272727272727
Prism Johnson Limited,Other Business Services,67256894692.58392,747.2988299175992,Other business activities,0.05,37.36494149587996,0.0499999999330923,0.5555555472953534,236,320.0,prism johnson limited,4,36.36363636363637
Star Cement Limited,Cement,31738009283.135635,352.644547590396,Construction,0.1,35.2644547590396,0.0999999997164283,1.1111110761022651,242,132.0,star cement limited,15,136.36363636363635
L&T Finance Limited,Financial Services,557697236745.0,6196.635963833333,"Financial intermediation, except insurance and pension funding",0.005,30.98317981916667,0.005,0.0555555555555555,255,560.0,l&t finance limited,2,18.181818181818183
Coforge Limited,Other Business Services,55567271862.36422,617.4141318040469,Other business activities,0.05,30.870706590202342,0.049999999919017,0.5555555455576643,258,331.0,coforge limited,13,118.18181818181819
Kajaria Ceramics Limited,Other Business Services,46350009591.38626,515.0001065709585,Other business activities,0.05,25.750005328547925,0.0499999999029126,0.5555555435694622,284,352.0,kajaria ceramics limited,1,9.090909090909092
Siemens Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,290,139.0,siemens limited,5,45.45454545454545
Larsen & Toubro Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,299,139.0,larsen & toubro limited,5,45.45454545454545
Cochin Shipyard Limited,Other Business Services,45278508144.46703,503.0945349385226,Other business activities,0.05,25.15472674692613,0.0499999999006151,0.5555555432858151,300,353.0,cochin shipyard limited,4,36.36363636363637
IDFC FIRST Bank Limited,Financial Services,435239648012.65576,4835.996089029509,"Financial intermediation, except insurance and pension funding",0.005,24.179980445147542,0.004999999998966,0.0555555554279119,306,581.0,idfc first bank limited,7,63.63636363636363
Sobha Limited,Other Business Services,42025135276.09362,466.94594751215135,Other business activities,0.05,23.347297375607567,0.0499999998929212,0.5555555423359541,308,359.0,sobha limited,3,27.27272727272727
HFCL Limited,Other Business Services,37952409368.939285,421.6934374326587,Other business activities,0.05,21.08467187163293,0.0499999998814304,0.5555555409173402,324,373.0,hfcl limited,3,27.27272727272727
Infibeam Avenues Limited,Other Business Services,37256786500.36685,413.96429444852055,Other business activities,0.05,20.69821472242603,0.0499999998792166,0.5555555406440297,326,375.0,infibeam avenues limited,1,9.090909090909092
