Company_Name,Num_Indicators,Total_Points,Tier1_Count,Tier2_Count,Tier3_Count,Tier1_Pct
GAIL (India) Limited,5,5,5,0,0,100.0
JSW Steel Limited,16,16,16,0,0,100.0
Nestle India Limited,5,5,0,0,0,0.0
Odisha Mining Corporation,1,1,0,1,0,0.0
Tata Motors Limited,9,9,9,0,0,100.0
COAL INDIA LIMITED,5,5,5,0,0,100.0
Uttam Galva Steels,1,1,0,0,0,0.0
KIOCL (Kudremukh Iron Ore Company),4,4,0,0,0,0.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,4,4,0,0,0,0.0
Kalyani Steels,5,5,0,0,0,0.0
Electrosteel Castings,7,7,0,0,0,0.0
Visa Steel,1,1,1,0,0,100.0
Jindal Stainless Limited,16,16,16,0,0,100.0
Welspun Corp Limited,11,11,11,0,0,100.0
ARVIND LIMITED,7,8,4,4,0,50.0
Indus Towers Limited,1,2,2,0,0,100.0
Dalmia Bharat Limited,14,14,14,0,0,100.0
Adani Energy Solutions Limited,19,27,27,0,0,100.0
UNITED BREWERIES LIMITED,10,13,13,0,0,100.0
ALEMBIC PHARMACEUTICALS LIMITED,18,18,18,0,0,100.0
Sagar Cements,6,6,6,0,0,100.0
Piramal Pharma Limited,10,16,16,0,0,100.0
Atul Limited,2,2,2,0,0,100.0
Tech Mahindra Limited,14,14,14,0,0,100.0
Oberoi Realty Limited,15,16,16,0,0,100.0
CESC Limited,11,11,11,0,0,100.0
Birla Corporation Limited,3,4,4,0,0,100.0
Prism Johnson Limited,4,4,4,0,0,100.0
Star Cement Limited,15,15,15,0,0,100.0
L&T Finance Limited,9,9,2,0,0,22.22222222222222
Coforge Limited,13,13,13,0,0,100.0
Kajaria Ceramics Limited,1,1,1,0,0,100.0
Siemens Limited,5,5,5,0,0,100.0
Larsen & Toubro Limited,8,15,5,0,0,33.33333333333333
Cochin Shipyard Limited,4,6,6,0,0,100.0
IDFC FIRST Bank Limited,7,7,7,0,0,100.0
Sobha Limited,3,3,3,0,0,100.0
HFCL Limited,3,4,4,0,0,100.0
Infibeam Avenues Limited,1,1,1,0,0,100.0
Ramkrishna Forgings Limited,9,12,12,0,0,100.0
Inox Wind Limited,4,4,4,0,0,100.0
Engineers India Limited,1,1,1,0,0,100.0
Vistara (TATA SIA Airlines),2,3,0,0,0,0.0
ITC Limited (Paperboards Division),5,5,0,0,0,0.0
CCL Products (India) Limited,6,6,0,0,0,0.0
Trident Limited,7,12,0,0,0,0.0
West Coast Paper Mills,7,7,0,0,0,0.0
Hindustan Paper Corporation,1,1,0,0,0,0.0
Sanghi Industries,4,4,0,0,0,0.0
SpiceJet,2,2,0,0,0,0.0
Siyaram Silk Mills,2,2,0,0,0,0.0
IndiGo (InterGlobe Aviation),6,6,0,0,0,0.0
Shreyans Industries (Paper),1,1,0,0,0,0.0
Nestle India,5,5,0,0,0,0.0
Tayo Rolls,1,1,0,0,0,0.0
Go First (GoAir),1,1,0,0,0,0.0
Mother Dairy,5,5,0,0,0,0.0
Mahindra Holidays & Resorts India Limited,5,10,0,0,0,0.0
"GMR Airports (Delhi, Hyderabad)",6,6,0,0,0,0.0
K.P.R. MILL LIMITED,5,5,0,0,0,0.0
Bharat Heavy Electricals Limited (BHEL),6,11,0,0,0,0.0
Bangalore International Airport Ltd (BIAL),6,10,0,0,0,0.0
Birla Corporation,3,4,4,0,0,100.0
Ion Exchange (India) Limited,3,3,0,0,0,0.0
Data Patterns (India) Limited,2,2,0,0,0,0.0
Coal India Limited,0,0,0,0,0,0.0
Garden Reach Shipbuilders & Engineers Limited,4,4,0,0,0,0.0
GVK Mumbai Airport,7,7,2,2,0,28.57142857142857
Air Asia India,1,1,0,0,0,0.0
JYOTHY LABS LIMITED,1,1,1,0,0,100.0
Angel One Limited,3,3,0,0,0,0.0
Metro Brands Limited,1,1,1,0,0,100.0
Procter & Gamble Health Limited,3,3,0,0,0,0.0
Pfizer Limited,2,2,2,0,0,100.0
Usha Martin Limited,6,6,2,0,0,33.33333333333333
Punjab & Sind Bank,4,4,2,0,0,50.0
MUTHOOT FINANCE LIMITED,1,1,1,0,0,100.0
POLY MEDICURE LIMITED,10,14,14,0,0,100.0
Axis Bank Limited,1,1,1,0,0,100.0
Wockhardt Limited,1,1,1,0,0,100.0
Vedant Fashions Limited,1,1,1,0,0,100.0
RBL Bank Limited,15,15,15,0,0,100.0
Akasa Air,3,4,0,0,0,0.0
Route Mobile Limited,1,1,1,0,0,100.0
IIFL Finance Limited,1,1,1,0,0,100.0
Latent View Analytics Limited,7,7,7,0,0,100.0
Raymond Limited,2,2,0,0,0,0.0
Zydus Lifesciences Limited,1,1,1,0,0,100.0
INDIAMART INTERMESH LIMITED,0,0,0,0,0,0.0
Usha Martin,2,2,2,0,0,100.0
MANKIND PHARMA LIMITED,7,8,8,0,0,100.0
Eureka Forbes Limited,1,1,1,0,0,100.0
Chalet Hotels Limited,1,1,1,0,0,100.0
TATA COMMUNICATIONS LIMITED,6,6,6,0,0,100.0
Piramal Enterprises Limited,12,12,12,0,0,100.0
Tejas Networks Limited,13,13,13,0,0,100.0
R R Kabel Limited,4,4,4,0,0,100.0
PB FINTECH LIMITED,1,1,1,0,0,100.0
Tata Elxsi Limited,11,12,12,0,0,100.0
RITES Limited,6,6,6,0,0,100.0
