Facility_ID,Company_Name,Corrected_City,Corrected_State,Latitude,Longitude,Confidence
EST_2,Mahindra & Mahindra Limited,Nashik,Maharashtra,20.0112475,73.7902364,High
EST_3,Mahindra & Mahindra Limited,Nashik,Maharashtra,20.0112475,73.7902364,High
EST_4,Mahindra & Mahindra Limited,Nashik,Maharashtra,20.0112475,73.7902364,High
EST_6,Mahindra & Mahindra Limited,Nashik,Maharashtra,20.0112475,73.7902364,High
EST_2,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_3,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_4,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_6,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_7,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_8,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_9,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_10,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_11,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_12,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_13,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_14,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_15,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_16,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_17,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_18,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_19,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_20,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_21,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_22,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_23,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_24,Bajaj Holdings & Investment Limited,Pune,Maharashtra,18.5213738,73.8545071,High
EST_2,Dixon Technologies (India) Limited,Noida,Uttar Pradesh,28.5706333,77.3272147,High
EST_3,Dixon Technologies (India) Limited,Noida,Uttar Pradesh,28.5706333,77.3272147,High
EST_4,Dixon Technologies (India) Limited,Noida,Uttar Pradesh,28.5706333,77.3272147,High
EST_2,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_3,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_4,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_6,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_7,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_8,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_9,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_10,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_11,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_12,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_13,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_14,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_15,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_16,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_17,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_18,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_19,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_20,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_21,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_22,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_23,L&T Finance Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
