Company_Name,NSE_Symbol,Sector,XBRL_URL,Download_Success,Status,File_Size_KB
Reliance Industries Limited,RELIANCE,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504867_07082025013302_WEB.xml,True,Success,1457.75
Tata Consultancy Services Limited,TCS,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1474736_30062025044052_WEB.xml,True,Success,874.9404296875
HDFC Bank Limited,HDFCBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481748_14072025080910_WEB.xml,True,Success,839.2431640625
ICICI Bank Limited,ICICIBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503412_05082025083000_WEB.xml,True,Success,811.6875
Bharti Airtel Limited,BHARTIARTL,Telecommunication,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484884_16072025112237_WEB.xml,True,Success,1046.060546875
STATE BANK OF INDIA,SBIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1472447_26062025071319_WEB.xml,True,Success,907.814453125
Infosys Limited,INFY,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477079_03072025095250_WEB.xml,True,Success,1057.1591796875
Life Insurance Corporation of India,LICI,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1498280_30072025062838_WEB.xml,True,Success,788.04296875
Hindustan Unilever Limited,HINDUNILVR,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1486091_18072025110717_WEB.xml,True,Success,910.568359375
ITC Limited,ITC,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473051_27062025034500_WEB.xml,True,Success,884.3291015625
Larsen & Toubro Limited,LT,Construction,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1450809_26052025013610_WEB.xml,True,Success,1036.2802734375
Bajaj Finance Limited,BAJFINANCE,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476138_02072025120411_WEB.xml,True,Success,868.0029296875
HCL Technologies Limited,HCLTECH,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1501255_02082025084111_WEB.xml,True,Success,1082.359375
Maruti Suzuki India Limited,MARUTI,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503469_05082025092147_WEB.xml,True,Success,855.29296875
Sun Pharmaceutical Industries Limited,SUNPHARMA,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477541_04072025072529_WEB.xml,True,Success,854.169921875
Adani Enterprises Limited,ADANIENT,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468306_18062025105504_WEB.xml,True,Success,786.7060546875
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1529464_19092025051900_WEB.xml,True,Success,870.52734375
Tata Motors Limited,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468402_19062025030040_WEB.xml,True,Success,1044.3994140625
Axis Bank Limited,AXISBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1472659_27062025105753_WEB.xml,True,Success,831.0478515625
NTPC LIMITED,NTPC,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505695_07082025063546_WEB.xml,True,Success,854.484375
Titan Company Limited,TITAN,Consumer Durables,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473059_27062025034725_WEB.xml,True,Success,853.939453125
UltraTech Cement Limited,ULTRACEMCO,Construction Materials,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1495277_28072025045950_WEB.xml,True,Success,792.9775390625
Adani Ports and Special Economic Zone Limited,ADANIPORTS,Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468283_18062025081805_WEB.xml,True,Success,1098.5361328125
Asian Paints Limited,ASIANPAINT,Consumer Durables,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470036_24062025101008_WEB.xml,True,Success,916.9814453125
Avenue Supermarts Limited,DMART,Consumer Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1488227_21072025103435_WEB.xml,True,Success,725.6533203125
COAL INDIA LIMITED,COALINDIA,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1501398_04082025110417_WEB.xml,True,Success,967.3017578125
Power Grid Corporation of India Limited,POWERGRID,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1501353_03082025081853_WEB.xml,True,Success,944.7685546875
Mahindra & Mahindra Limited,M&M,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1474151_28062025114611_WEB.xml,True,Success,888.66015625
Bajaj Finserv Limited,BAJAJFINSV,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476853_03072025041532_WEB.xml,True,Success,871.5751953125
Wipro Limited,WIPRO,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469331_21062025011214_WEB.xml,True,Success,991.66015625
HINDUSTAN AERONAUTICS LIMITED,HAL,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1497388_30072025115106_WEB.xml,True,Success,764.8583984375
Nestle India Limited,NESTLEIND,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473035_27062025033841_WEB.xml,True,Success,901.8564453125
Bajaj Auto Limited,BAJAJ-AUTO,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481704_12072025083759_WEB.xml,True,Success,752.4228515625
ADANI POWER LIMITED,ADANIPOWER,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467091_16062025045831_WEB.xml,True,Success,866.2333984375
Indian Oil Corporation Limited,IOC,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505202_07082025043616_WEB.xml,True,Success,976.7822265625
DLF Limited,DLF,Realty,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481723_13072025094535_WEB.xml,True,Success,1030.712890625
JSW Steel Limited,JSWSTEEL,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477130_04072025105556_WEB.xml,True,Success,970.6005859375
Jio Financial Services Limited,JIOFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1502490_05082025012045_WEB.xml,True,Success,729.41015625
INDIAN RAILWAY FINANCE CORPORATION LIMITED,IRFC,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504202_06082025055246_WEB.xml,True,Success,829.7734375
Siemens Limited,SIEMENS,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1345203_14012025053859_WEB.xml,True,Success,899.6923828125
Tata Steel Limited,TATASTEEL,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470548_24062025065142_WEB.xml,True,Success,1179.11328125
Varun Beverages Limited,VBL,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1394994_11032025054427_WEB.xml,True,Success,742.3291015625
Hindustan Zinc Limited,HINDZINC,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500543_01082025064512_WEB.xml,True,Success,930.59375
BHARAT ELECTRONICS LIMITED,BEL,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504162_06082025053341_WEB.xml,True,Success,753.7451171875
Grasim Industries Limited,GRASIM,Construction Materials,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489740_21072025081731_WEB.xml,True,Success,863.513671875
LTIMindtree Limited,LTIM,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1432884_07052025122600_WEB.xml,True,Success,945.1494140625
Pidilite Industries Limited,PIDILITIND,Chemicals,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1480946_11072025042536_WEB.xml,True,Success,862.5068359375
SBI Life Insurance Company Limited,SBILIFE,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505929_07082025072644_WEB.xml,True,Success,755.4365234375
Power Finance Corporation Limited,PFC,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505256_07082025045820_WEB.xml,True,Success,817.2724609375
InterGlobe Aviation Limited,INDIGO,Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494252_26072025105326_WEB.xml,True,Success,753.341796875
Bank of Baroda,BANKBARODA,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1458171_29052025095025_WEB.xml,True,Success,807.3828125
HINDALCO INDUSTRIES LIMITED,HINDALCO,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1495762_28072025080158_WEB.xml,True,Success,883.9033203125
PUNJAB NATIONAL BANK,PNB,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476360_02072025034459_WEB.xml,True,Success,759.66796875
ABB India Limited,ABB,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1411314_09042025080919_WEB.xml,True,Success,815.234375
HDFC Life Insurance Company Limited,HDFCLIFE,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478202_07072025051042_WEB.xml,True,Success,742.5712890625
Godrej Consumer Products Limited,GODREJCP,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1492280_24072025040600_WEB.xml,True,Success,898.8564453125
Vedanta Limited,VEDL,Metals & Mining,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468325_19062025105114_WEB.xml,True,Success,1039.65234375
Tech Mahindra Limited,TECHM,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470026_23062025114614_WEB.xml,True,Success,1003.2138671875
REC Limited,RECLTD,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500827_01082025114716_WEB.xml,True,Success,878.2158203125
Ambuja Cements Limited,AMBUJACEM,Construction Materials,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466435_13062025044732_WEB.xml,True,Success,787.3115234375
GAIL (India) Limited,GAIL,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505319_07082025051651_WEB.xml,True,Success,957.73828125
Britannia Industries Limited,BRITANNIA,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1488123_20072025120030_WEB.xml,True,Success,772.50390625
MACROTECH DEVELOPERS LIMITED,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1480128_10072025042328_WEB.xml,True,Success,811.2998046875
Adani Energy Solutions Limited,ADANIENSOL,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478968_08072025072115_WEB.xml,True,Success,1174.712890625
IndusInd Bank Limited,INDUSINDBK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1506455_08082025013939_WEB.xml,True,Success,801.556640625
INDIAN OVERSEAS BANK,IOB,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468370_19062025010241_WEB.xml,True,Success,886.2529296875
Cipla Limited,CIPLA,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468721_19062025092440_WEB.xml,True,Success,938.9619140625
EICHER MOTORS LIMITED,EICHERMOT,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1495655_28072025070458_WEB.xml,True,Success,794.064453125
UNION BANK OF INDIA,UNIONBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520938_01092025070414_WEB.xml,True,Success,760.529296875
Tata Consumer Products Limited,TATACONSUM,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473177_27062025043658_WEB.xml,True,Success,756.3154296875
Adani Total Gas Limited,ATGL,Oil Gas & Consumable Fuels,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469453_22062025052307_WEB.xml,True,Success,724.34375
DIVI'S LABORATORIES LIMITED,DIVISLAB,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482490_14072025065921_WEB.xml,True,Success,730.6083984375
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1479735_09072025100330_WEB.xml,True,Success,799.568359375
Canara Bank,CANBK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469688_23062025042640_WEB.xml,True,Success,896.9140625
TVS Motor Company Limited,TVSMOTOR,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494393_26072025025925_WEB.xml,True,Success,874.1201171875
Dr. Reddy's Laboratories Limited,DRREDDY,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475030_30062025061833_WEB.xml,True,Success,981.6962890625
