Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
JSW Steel Ltd.,JSWSTEEL,Steel & Iron,208845.30859159,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477130_04072025105556_WEB.xml,04-Jul-2025,True,data\brsr_xbrl\JSWSTEEL_JSW Steel Ltd_BRSR.xml,970.6005859375
Tata Steel Ltd.,TATASTEEL,Steel & Iron,193707.818995962,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470548_24062025065142_WEB.xml,24-Jun-2025,True,data\brsr_xbrl\TATASTEEL_Tata Steel Ltd_BRSR.xml,1179.11328125
Steel Authority of India Ltd.,SAIL,Steel & Iron,57947.001506023,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517071_25082025051220_WEB.xml,25-Aug-2025,True,data\brsr_xbrl\SAIL_Steel Authority of India Ltd_BRSR.xml,871.6240234375
NMDC Steel Ltd.,NSLNISP,Steel & Iron,17578.2085960115,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1515203_20082025042752_WEB.xml,20-Aug-2025,True,data\brsr_xbrl\NSLNISP_NMDC Steel Ltd_BRSR.xml,628.55078125
UltraTech Cement Ltd.,ULTRACEMCO,Cement,288793.807807726,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1495277_28072025045950_WEB.xml,28-Jul-2025,True,data\brsr_xbrl\ULTRACEMCO_UltraTech Cement Ltd_BRSR.xml,792.9775390625
Grasim Industries Ltd.,GRASIM,Cement,152681.77331541548,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489740_21072025081731_WEB.xml,21-Jul-2025,True,data\brsr_xbrl\GRASIM_Grasim Industries Ltd_BRSR.xml,863.513671875
Ambuja Cements Ltd.,AMBUJACEM,Cement,124610.418015825,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466435_13062025044732_WEB.xml,13-Jun-2025,True,data\brsr_xbrl\AMBUJACEM_Ambuja Cements Ltd_BRSR.xml,787.3115234375
Shree Cement Ltd.,SHREECEM,Cement,94681.7797370795,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481349_11072025085821_WEB.xml,11-Jul-2025,True,data\brsr_xbrl\SHREECEM_Shree Cement Ltd_BRSR.xml,808.875
ACC Ltd.,ACC,Cement,47116.24419817751,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466451_13062025050528_WEB.xml,13-Jun-2025,True,data\brsr_xbrl\ACC_ACC Ltd_BRSR.xml,793.2021484375
Dalmia Bharat Ltd.,DALBHARAT,Cement,37219.49925642,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1471188_25062025055858_WEB.xml,25-Jun-2025,True,data\brsr_xbrl\DALBHARAT_Dalmia Bharat Ltd_BRSR.xml,862.185546875
J.K. Cement Ltd.,JKCEMENT,Cement,32034.053254972,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477512_04072025065647_WEB.xml,04-Jul-2025,True,data\brsr_xbrl\JKCEMENT_JK Cement Ltd_BRSR.xml,836.259765625
The Ramco Cements Ltd.,RAMCOCEM,Cement,20218.251307882,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484703_16072025065810_WEB.xml,16-Jul-2025,True,data\brsr_xbrl\RAMCOCEM_The Ramco Cements Ltd_BRSR.xml,717.9921875
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement,11922.0750094535,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475239_30062025082518_WEB.xml,30-Jun-2025,True,data\brsr_xbrl\NUVOCO_Nuvoco Vistas Corporation Ltd_BRSR.xml,638.9345703125
Birla Corporation Ltd.,BIRLACORPN,Cement,11623.0340624155,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1516292_22082025055401_WEB.xml,22-Aug-2025,True,data\brsr_xbrl\BIRLACORPN_Birla Corporation Ltd_BRSR.xml,706.4638671875
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement,10033.0692301315,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1522363_03092025062546_WEB.xml,03-Sep-2025,True,data\brsr_xbrl\JKLAKSHMI_JK Lakshmi Cement Ltd_BRSR.xml,826.341796875
Star Cement Ltd.,STARCEMENT,Cement,8554.700620531501,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521006_01092025075243_WEB.xml,01-Sep-2025,True,data\brsr_xbrl\STARCEMENT_Star Cement Ltd_BRSR.xml,724.71875
Prism Johnson Ltd.,PRSMJOHNSN,Cement,8485.2728869205,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1483534_15072025064843_WEB.xml,15-Jul-2025,True,data\brsr_xbrl\PRSMJOHNSN_Prism Johnson Ltd_BRSR.xml,763.5009765625
Orient Cement Ltd.,ORIENTCEM,Cement,4810.6883903945,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481472_12072025121446_WEB.xml,12-Jul-2025,True,data\brsr_xbrl\ORIENTCEM_Orient Cement Ltd_BRSR.xml,772.4345703125
