Tag,Frequency,Example_Value,Sample_Company
NumberOfEmployeesOrWorkersRelatedToMinimumWages,9600,1207,360 ONE WAM LIMITED
NumberOfWellBeingOfEmployeesOrWorkers,8800,841,360 ONE WAM LIMITED
NumberOfTrainedEmployeesOrWorkers,4800,841,360 ONE WAM LIMITED
NumberOfEmployeesOrWorkersIncludingDifferentlyAbled,2400,1207,360 ONE WAM LIMITED
NumberOfDifferentlyAbledEmployeesOrWorkers,2400,0,360 ONE WAM LIMITED
PercentageOfSharesHeldByListedEntity,1653,1,360 ONE WAM LIMITED
DoesCompanyParticipateInTheBusinessResponsibilityInitiativesOfTheListedEntity,1653,true,360 ONE WAM LIMITED
TotalNumberOfEmployeesOrWorkersForMembership,1600,1207,360 ONE WAM LIMITED
NumberOfEmployeesOrWorkersArePartOfAssociationsOrUnion,1600,0,360 ONE WAM LIMITED
PercentageOfEmployeesOrWorkersArePartOfAssociationsOrUnionOfTotalNumberOfEmployee,1600,0,360 ONE WAM LIMITED
NumberOfEmployeesOrWorkerForPerformanceAndCareerDevelopment,1600,670,360 ONE WAM LIMITED
NumberOfComplaintsFiledDuringTheYear,1600,0,360 ONE WAM LIMITED
NumberOfComplaintsPendingResolutionAtTheEndOfYear,1600,0,360 ONE WAM LIMITED
TotalNumberOfEmployeesOrWorkersForPerformanceAndCareerDevelopment,1599,841,360 ONE WAM LIMITED
NumberOfComplaintsFiledFromStakeHolderGroupDuringTheYear,1264,0,360 ONE WAM LIMITED
NumberOfComplaintsPendingFromStakeHolderGroupResolutionAtTheEndOfYear,1264,0,360 ONE WAM LIMITED
TotalNumberOfEmployeesOrWorkersForTrainingOnHumanRightsIssues,1200,1207,360 ONE WAM LIMITED
NumberOfEmployeesOrWorkersCoveredForProvidedTrainingOnHumanRightsIssues,1200,1207,360 ONE WAM LIMITED
unit,1089,,360 ONE WAM LIMITED
NumberOfPersonsBenefittedFromCSRProjects,1022,1000,360 ONE WAM LIMITED
IndicateWhetherRiskOrOpportunity,992,O,360 ONE WAM LIMITED
RationaleForIdentifyingTheRiskOpportunity,992,"Increasing investor demand for ESG-aligned, thematic and differentiated investment strategies (especially across HNIs, institutions and millennials) creates a strong opportunity to expand and innovate",360 ONE WAM LIMITED
